,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
110,0.432991821,0.7550742269,1.015790011,1.310011037,1.62706691,1.953354184,2.179831676,2.897765249,2.143374469,2.301455093,2.473478532,2.610893343,2.57215928,2.588740862,2.575092864,2.147409036,2.522090222,2.5623036,2.517704302,2.568841466,2.295137884,2.223486279,2.17388053,2.03231064,1.929592145,1.938347423,1.960522723,1.917082335,1.754729726,1.786624772,1.777358866,1.891271811,1.702732936,1.721008538,1.688240419,1.703547382,1.715300067,1.690310264,1.663097642,1.707991572,1.604388007,1.593506351,1.597024108,1.604055121,1.490264247,1.522824715,1.462784443,1.647117595,1.448995128,1.446321622,1.451181488,1.436719369,1.416551539,1.38997473,1.415944672,1.398536228,1.085997168,1.297127397,1.340244425,1.339106201,1.292885783,1.277532376,1.249003742,1.518274195
120,0.453341421,0.7732271909,1.066839558,1.349804731,1.589845599,2.343001857,2.262122994,2.920268752,2.240422572,2.358240368,2.534334832,2.665063702,2.730429582,2.681330565,2.772566079,2.132696934,2.635575333,2.635672949,2.657176504,2.637051043,2.522906251,2.440254139,2.397344705,2.259243419,2.114291475,2.094294118,2.119889006,2.104697091,1.972253193,2.032718162,1.890192891,1.685155925,1.849428502,1.850838347,1.875758143,1.85331874,1.778728952,1.807627133,1.79627342,1.795901908,1.738196753,1.71950752,1.730861667,1.738404416,1.677012489,1.712943339,1.664560143,1.942487727,1.611845206,1.615978019,1.627259389,1.606838696,1.563674971,1.570198675,1.592674081,1.556253652,1.517579208,1.480636422,1.492993537,1.497352006,1.487609546,1.416156996,1.400276441,1.716583467
130,0.4718673241,0.7973425173,1.108005335,1.391919454,1.697515451,2.077957236,2.523429679,3.059339836,2.236035533,2.412424306,2.576222836,2.755475796,2.894085773,2.924277713,2.903215524,2.146994291,2.666459876,2.730801114,2.762700881,2.712498022,2.652041194,2.777547183,2.662633312,2.737887754,2.335318666,2.325293687,2.377333821,2.252219135,2.24570239,2.262262445,2.046297093,2.071302375,2.000348129,2.003521293,2.044108653,2.031148571,2.023575072,2.010642719,1.961049513,1.908970587,1.908707658,1.913147016,1.92753885,1.915766156,1.843735313,1.819074021,1.743390609,1.886869049,1.596510949,1.756312043,1.767002063,1.759371858,1.713374055,1.732115209,1.741972771,1.732983185,1.667623653,1.669234766,1.665920761,1.655578503,1.657005597,1.644594452,1.70546044,1.910664013
140,0.4772389203,0.8170046227,1.128787138,1.439149684,1.962949882,2.063601833,2.928297568,3.071507096,2.264002465,2.435516765,2.610616589,2.814619109,2.800242086,3.021443821,3.01200733,2.231842485,2.709306697,2.799287383,2.74784233,2.77811694,2.862843675,2.931450918,2.938100718,2.800673889,2.631800532,2.441613397,2.483852901,2.41652608,2.400987371,2.366491164,2.299145495,2.068114274,2.119154976,2.125156989,2.160591639,2.168894519,2.163907525,2.196345061,2.18066033,2.093120786,2.012527005,2.022157526,2.030022582,2.038099293,2.033095048,1.991166489,1.980842949,1.941089121,1.870885687,1.882917712,1.886197716,1.883040514,1.842582952,1.851145139,1.856053942,1.85282379,1.777802422,1.768042215,1.765029692,1.79476762,1.746647977,1.730041811,1.762597191,2.043704924
150,0.4795539121,0.8426835917,1.189548862,1.494383448,1.853763469,2.323199904,2.878153313,3.193099746,2.298188258,2.504583315,2.678384457,2.740916554,2.965975553,3.056103858,3.150714426,2.413933923,2.781070306,2.838751412,2.876423902,2.896371538,2.938441474,2.909147682,3.017682736,2.891661601,2.824444933,2.603169756,2.641732928,2.616471975,2.55899341,2.512674379,2.494260647,2.16049124,2.253502012,2.239159477,2.270258027,2.29516663,2.297046859,2.30952931,2.284685641,2.196936471,2.122726028,2.106811378,2.148733451,2.169634432,2.20340163,2.187510822,2.063322435,2.092869122,2.002225569,2.000360595,2.026513289,2.028069361,1.957578097,1.954083811,1.951611625,1.966697223,1.90540567,1.908248192,1.911520509,1.933271405,1.87243557,1.892868822,1.867658475,2.082955558
160,0.48744629,0.8544187254,1.195641239,1.712200183,1.82762418,2.123123608,2.827891107,3.259384404,2.378053808,2.505232565,2.739447606,2.836736492,3.029632153,3.13732681,3.234577926,2.491231858,2.810498327,2.836044948,2.893081411,2.817451649,2.955264981,3.01109157,2.937494286,2.895612341,2.928440018,2.854249063,2.878127561,2.687798261,2.695172777,2.676964453,2.620310995,2.091446732,2.378327204,2.355433636,2.380031994,2.372520869,2.414281602,2.410058795,2.420741919,2.335068902,2.22111844,2.201491968,2.265338766,2.232498573,2.171052291,2.207652474,2.219436274,1.981260048,2.099109945,2.116181642,2.121016891,2.130522049,2.118857029,2.086004726,2.104369401,2.08396497,2.027922234,2.013959664,2.021839231,2.010423407,1.992033665,1.959836119,1.978860924,2.156174142
170,0.4902404972,0.8803062426,1.21922465,1.590459679,1.969365391,2.223585042,2.834216792,3.26019223,2.397263252,2.635066731,2.725776227,2.834376816,3.073945055,3.178872513,3.320126612,2.490626938,2.841200599,2.927178792,2.924034429,2.90526258,3.046191525,3.045990921,3.06516394,3.125198596,2.940029682,2.890438513,2.911337093,2.903549652,2.92967914,2.838309756,2.727701134,2.228126105,2.450114683,2.475302008,2.490811779,2.512238854,2.52748909,2.57143667,2.493833003,2.489308334,2.280862118,2.321262006,2.321676492,2.351540385,2.346700793,2.315472966,2.285251097,2.190331926,2.199796385,2.229938227,2.193203547,2.242165418,2.227649453,2.226993864,2.197401436,2.197868186,2.134144789,2.126822505,2.104755064,2.127462053,2.07520508,2.105384421,2.066674158,2.208778064
180,0.4964198023,0.9031629532,1.243648025,1.57105476,2.01798286,2.528386171,2.96383058,3.325892466,2.49599637,2.718449496,2.791137414,2.981514133,3.126212156,3.309437672,3.388803856,2.483633926,2.871922602,2.997228003,2.9893929,2.950501707,3.084973326,3.189071661,3.166121229,3.240200281,3.025853416,3.039625348,3.032323955,2.803319982,3.14018566,3.047753451,3.029449365,2.497471268,2.618258905,2.539630695,2.583501851,2.598409577,2.672239389,2.657093087,2.639320318,2.610304215,2.437489028,2.439454342,2.428161516,2.456863275,2.454849435,2.411515962,2.459351523,2.205626354,2.319500874,2.32240264,2.336106313,2.356408145,2.359204874,2.342492089,2.322587617,2.313335948,2.237378438,2.249380452,2.269049319,2.261159944,2.239407097,2.192835265,2.200713467,2.2699324
190,0.4993023853,0.9227641497,1.27827745,1.610538304,2.041216668,2.690227106,2.914797787,3.413182496,2.499926561,2.725597107,2.922235074,3.012931138,3.095639115,3.354272028,3.353118829,2.539163599,2.811179031,2.990812966,3.027391539,3.01726765,3.159775079,3.310381577,3.274427771,3.343753293,3.033860969,3.176649935,2.998960584,2.820562861,2.824419371,2.713738244,2.644340086,2.538430695,2.528733936,2.514365378,2.522685577,2.598948305,2.572977738,2.520319502,2.474279276,2.494263904,2.50920675,2.524372838,2.492436131,2.481124317,2.38283467,2.320328105,2.347959225,2.14871948,2.378470072,2.390926323,2.40494271,2.408253164,2.333295158,2.441642301,2.422182326,2.413106911,2.337893944,2.323674198,2.336514253,2.355940635,2.315736523,2.335795035,2.310326602,2.217506873
200,0.5026552259,0.9461251263,1.300534464,1.652329697,2.204064198,2.631975819,3.067995916,3.479044605,2.539625888,2.779750462,2.954461078,2.970644159,3.207680437,3.340709904,3.533085502,2.51604674,2.929790968,2.987983467,3.060220768,3.055649127,3.208371767,3.306054105,3.376429497,3.419430182,3.146002575,3.251183537,3.138550198,3.052792208,3.202550392,3.116889819,2.894953001,2.468660953,2.963561604,2.885429695,2.846136735,2.775201145,2.844031785,2.861104733,2.877150658,2.812508253,2.629230585,2.650348722,2.654824988,2.638978702,2.687516517,2.660731992,2.597371356,2.387565318,2.497307232,2.47782856,2.533236836,2.555122788,2.547967628,2.560564528,2.502043114,2.480249814,2.43260532,2.40804496,2.443348067,2.442396756,2.455689451,2.437590324,2.403171826,2.354574686
